,内容,评分,评价,不足之处,论文选题,文献综述,论文水平,论文写作,对论文熟悉程度
1655,本文以计算机视觉领域中的基础课题人体动作识别作为研究对象，展开以有效提取动 作特征并捕捉关键时空信息为核心思想的两方面研究工作。人体动作识别在视觉领域 中具有广泛的应用，对于工业界同样具有较高的应用价值。综合来看，该选题具有一 定的理论意义和研究价值。本文针对现有多数方法中难以精准关注与识别最相关动作 特征的问题展开研究。具体地，作者分别从空间和时间的视角提出多尺度时空的特征 增强图卷积网络。另外，在此基础上，为了增强动作特征的表示，作者提出了一种基 于多重注意力机制的图卷积网络。该网络集成多个注意力机制从通道维度，空间维度 ，和时间维度捕捉骨架序列的关键帧，以此实现增强动作的特征表示。最后，经实验 验证，作者提出的模型与当前先进的方法相比具有很大的提升，验证了模型的有效性 和优越性。从方法来看，作者设计的模型主要以图卷积网络为主，从两个方面解决精 确动作特征的问题，然而对于方法一解决的问题不够明确，仍需要进一步加强表述。 从结构来看，论文结构清晰，层次分明，图表规范。研究背景和相关工作介绍详尽， 作者具有一定的独立科研能力，但仍存在一些问题和不足，需要进一步的进行修改。,79,良好,1. 摘要中描述的存在的两个问题和1.2.5节中的存在的本文要解决的难点与挑战不一 致，表述应当一致。 2.动作识别的研究背景阐述中，所参考的文献质量有待提高，可增加引用与阅读高质 量中文论文。 3.文中图存在不清晰得情况，如图2-1，2-2 视觉效果很模糊。另外，存在很多图是 截图，作者应手动重新画，插入到论文中，如图2-5。 4. 第三章第四章对于作者自己提出的方法检验中，存在对比方法数量少，对比的新 的文献数量也少，应添加新颖的方法进行对比，使实验结果更具有说服力。 5. 所提出的方法对应的实验结果与分析不能仅限于对表格数据的描述，应加入对于 实验结果的因果分析。,良好,一般,良好,良好,熟悉
1656,论文针对人体动作识别问题，为了充分提取人体骨架数据的时空特征，提出了多尺度 时空特征增强网络，其中包含多尺度空间特征增强模块和多尺度时间特征增强模块。 分别提取同一帧内骨架图的多尺度空间特征，以及多帧骨架图的多尺度时间特征。进 一步，为了关注与动作最相关的关键特征，提出了多重注意力机制网络，其中包含多 尺度注意力模块、空间注意力模块以及时间注意力模块，三种模块分别从通道、空间 以及时间维度对关键特征信息进行提取。多尺度注意力模块从从通道维度对不同尺度 的动作特征进行权重分配；空间注意力模块从空间维度自适应地学习骨架图的关键拓 扑特征；时间注意力模块从时间维度捕捉骨架序列中的关键帧。论文所提网络在 NT U-RGB+D 和 Kinetics 数据集上进行了一系列实验，证明所提模型的有效性。 论文展示作者具备一定的科研能力。论文逻辑合理，撰写较规范，基本达到硕士学位 论文要求。,86,良好,1、第三章 基于多尺度时空特征增强网络的动作识别方法，其中，多尺度时空特征增 强网络是本章的主要贡献，有必要详细阐述其实现细节。多尺度空间特征和多尺度时 间特征融合的具体方法，有必要进一步详细阐述。 2、第四章 基于多重注意力机制的关键时空信息选择方法。其中，基于多重注意力机 制的图卷积网络是本章的主要工作，有必要详细阐述其实现细节。多重注意力模块聚 合的实现细节，有必要详细阐述。,良好,良好,一般,一般,熟悉
1657,论文为了分析无人机蜂群中群体智能的涌现机理并进行模拟推演等亟待解决的关 键技术问题，研究了一种基于演化博弈的群体智能涌现分析方法，对系统的微观个体 层、中观结构层和宏观网络层三个层面展开分析，自底向上地量化分析了系统动态演 化过程，揭示系统从微观到宏观、从局部到全局的内在机理以及系统演变中的一些问 题，系统地解释了无人机蜂群中群体智能的涌现机理。同时，构建了基于演化博弈的 无人机蜂群的计算实验模型。论文具有较好的理论和工程研究意义，整体架构合理， 语言通顺，格式比较规范，论文整体工作量达到硕士论文质量要求。,86,良好,虽然论文具有较好的理论和工程研究意义，整体架构合理，语言通顺，格式较规范， 但是论文任然存在如下问题： （1）很多公式表达和指代形式不够规范，如P31 （3-23）等； （2）图4-6不够规范，不能明显区分A型无人机和G型无人机； （3）缺少与其他算法的效果比较； （4）部分参考文献格式不规范，如41-44等。部分文献过于陈旧。 （5）论文整体创新性不足。,优秀,良好,良好,良好,熟悉
1658,针对无人机蜂群中群体智能涌现机理的系统化、定量化分析问题，本文提出了基 于演化博弈的群体智能涌现分析方法，并对微观个体、中观结构和宏观网络三个层面 进行了理论分析；同时，构建了无人机蜂群的计算实验模型，引入公共物品演化博弈 机制，将蜂群作战体系抽象为动态演化的多智能体系统；通过计算实验继续模拟推演 ，针对不同参数设计了详细的实验过程。从理论分析、模型建立到实验验证，环环相 扣，对无人机蜂群群体智能的涌现机理进行分析和探索。 本文对群体智能涌现机理的 研究具有实际应用价值，论文选题新颖，结构合理，层次分明，思路清晰，理论运用 灵活，文笔流畅，图表丰富，符合科技写作规范，整体工作充实。 综上所述，本文达到了硕士论文的要求，同意参加硕士答辩。,96,优秀,"以下几点建议，仅供参考： 1、P22，倒数第二段和第一段“逐步优化Agent 个体的行为机制决策机制。”、“只 是简单地遵循特定的行为规则行动采取对自己最有利的行为。”请核对这两句话，表 述是否妥当。 2、第五章，P51中，“在作战成本相同的情况下，fc (k)|ω = 0.1 > fc (k)|ω = 0.5 > fc (k)|ω = 1，”，请核对ω = 0.1、0.5、1三个值，是否应该设置为下标 形式？ 3、第五章，P57中，“从整体情况可以看出，fc (k)|m=1,n= > fc (k)|m=3,n=1 > fc (k)|m=4,n=1，.” 中，第一项是否应该为“fc (k)|m=1,n= 1”？ 4、第五章，P57中，关于实验结论“（1）当网络连通性（即节点平均度）较低时，最 先加入蜂群网络的无人机节点更容易成为子群中节点度最大的枢纽节点，而随着节点 连接数m 和n 的增加(即节点平均度的增加)，新加入的节点会争夺枢纽节点的位置， 这在一定程度上加剧了网络连接情况的不稳定性，降低了蜂群整体的合作水平。”这 段描述是针对实验2的分析吗？在5.3节未找到相关的实验数据，请核对是否缺少了相 应的实验？ 5、第五章5.4.2节，P60中针对图5-10在文中的描述“在蜂群网络中度较大的这部分节 点里，持有非合作策略D 的节点占多数，而其余数量更多的度较小的节点选择合作策 略C 的现象比较明显。”图中的数据与文中的描述有些出入，请核对是否正确？",优秀,优秀,优秀,优秀,熟悉
1659,自主协同是“蜂群”作战的关键核心，是当前无人作战领域正在发展的一个重要概念 。论文选题是个有意思和研究价值的问题。论文基于演化博弈的群体智能涌现分析方 法，对系统的微观个体层、中观结构层和宏观网络层三个层面展开分析，解释了一些 无人机蜂群中群体智能的涌现机理；通过引入计算实验方法，构建了基于演化博弈的 无人机蜂群的计算实验模型。拓展了研究途径。综合论文究内容、取得的成果、学术 水平、专业基础及科研能力，作者已经达到硕士学位论文要求，同意参加学位答辩。,90,优秀,无人机蜂群通过实时动态编组，在线任务分配、集群协同突防的方式实施作战，联合 有人和无人编组的协同作战模式深入应用在空袭突防作战、城市进攻作战、反恐作战 等各种类型的作战方向，具有不可估量的价值。只有根据不同作战场景、不同作战特 点的研究，其成果才更有应用价值，希望作者在本文也能对这些方面适当论述或展望 规划。,优秀,良好,优秀,优秀,熟悉
1660,论文选题具有理论研究和实际应用意义。作者掌握了基于生成的会话推荐系统的相关 技术。论文阐述了基于问题以及基于生成的会话推荐系统的研究现状、现有的问题与 解决方案。在文献调研的基础上，设计了基于知识图谱的会话推荐系统方法，并通过 实验对比，采用相关指标给出实验结果，给予了实验分析和讨论。论文内容和条理清 晰，组织结构合适，工作量饱满，反映了作者具有较强的独立科研能力和实际动手能 力。,92,优秀,1）baselines的实验结果是复现还是从来自论文，请给予说明。 2）第2和3章的评价指标@k不一致，请给予说明。 3）基线模型Textcnn准确的说是分类模型，如何用于会话式推荐问题？所给出的参考 文献[63]也是发表在EMNLP上的sentence classification。 4）适当增加中文参考文献。,优秀,优秀,优秀,优秀,熟悉
1661,本文围绕基于知识图谱的会话推荐系统，在解决会话推荐的可推理性、行为统一性、 目标感知性方面开展研究，提出了基于片段推理的可推理会话推荐模型、基于双重模 仿的统一会话推荐模型、基于目标感知兴趣序列建模的目标感知会话推荐模型等，本 文选题具有较好的理论意义和应用价值，作者对文献资料掌握比较全面，论文研究目 标明确，技术路线比较清晰。论文写作规范，结构合理，多个成果发表于高水平会议 ，作者能够综合运用本专业知识和技术手段分析解决理论研究中的问题，具有较为扎 实的基础和专门知识。,90,优秀,问题和建议： 本文针对知识图谱上的显式推理缺乏、会话组件缺乏有效的信息交换、会话推荐中的 多轮对话并主动追踪指导用户兴趣转移能力缺乏等问题，分别提出了3个不同的会话推 荐模型，但是，从论文的写作整体结构上，缺少对这3个模型的融合，例如，问题定义 出现重复，另外，在对比和消融实验中，建议增加本文模型之间的比较，以证明后续 模型的某些提升。,优秀,优秀,优秀,良好,熟悉
1662,论文以基于知识图谱的会话推荐系统为选题，从知识图谱上的显式推理和不完整知识 图谱、推荐组件和会话组件的信息交换以及会话推荐中进 行面向目标的多轮对话这三个方面提出了基于片段推理的可推理会话推荐模型、基于 双重模仿的统一会话推荐和基于目标感知兴趣序列建模的目标感知会话推荐模型，并 用较为翔实的实验设计和分析验证了所提出模型的有效性。 论文选题具有较好的理论和应用价值，论文内容翔实，并具有创新见解，体现了作 者具有较好的科研能力和实践应用能力。 论文结构合理，逻辑清楚，行文流畅，论据充实，结论正确。,95,优秀,对论文的建议如下： 1. 论文中第一次出现的英文缩写应该标注有全称，目前有些标注了有些没有标注，有 些用中文，有些用英文，建议一致。 2.绪论文献综述部分内容比较充实，但缺少与本文工作的联系，建议适当增加文献与 本文工作的异同货相关性评述。 3.本文所提模型在时间效率上表现如何？适当补充一些本文所提模型与其他工作模型 的时间复杂度和响应效率方面的表现。,优秀,优秀,优秀,优秀,熟悉
1663,本论文围绕联邦学习相关问题展开分析、研究与设计，选题具有较高的研究价值和应 用价值。本文提出了去中心联邦学习的拓扑优化方法，并进一步将拓扑优化问题转化 为马尔科夫过程求解。论文对所提出的各个算法和方案进行了原型实现与仿真测试， 在网络拓扑动态变化的实验场景中，初步验证了算法和方案的有效性。本论文对本课 题的研究历史与研究现状比较了解，具备较高的综合分析与总结能力，对相关算法与 模型的表述清楚，对基础知识和专业知识的掌握准确。论文的写作结构清晰，层次合 理，格式规范，表达流畅，达到硕士学位论文标准。,95,优秀,本文作者多次声称所提出的的模型精度更高、速度更快，为了展示实验结果的可信度 ，应该在撰写过程中详细给出实验细节，以保证文中一系列实验具有可复现性，因此 ： 1 建议给出实验参数取值的范围、出处与合理性解释 2 建议对随机生成的实验数据集给出详细的描述，对于随机样本，多组实验的统计数 据才具有可信性，而不是保留实验结果最好的一组进行记录。 3 建议在文中对“车辆行驶速度与链路断开概率之间关联关系”进行讨论。,优秀,优秀,优秀,优秀,熟悉
1664,论文研究在车联网中提高去中心化联邦学习模型训练速度和精度的拓扑优化方法 ，针对IID数据和Non-IID 数据，提出了图卷积神经网络，基于模型相似度矩阵的深度 强化学习方法进行拓扑优化。在仿真环境中讨论了数据特点，车辆速度，通讯范围等 对拓扑优化算法的影响。论文选题能够跟工程问题相结合，理论分析完整，写作较为 规范，达到硕士论文水平。,86,良好,建议论文参考以下方面进行修改 （1）论文讨论了两个算法，总体工作量可以进一步扩充 （2）仿真所使用的计算平台信息需要进行描述 （3）仿真中使用了accuracy（准确率），建议增加precision（精确率），recall（ 召回率），交叉验证，混淆矩阵等判据 （4）联邦学习方法中信息传输安全性的讨论 （5）1.4节的行文偏重复，建议精简 （6）不同算法的时延情况如何？,良好,良好,良好,良好,熟悉
1665,论文研究车联网中面向联邦学习的拓扑优化问题，选题具有理论意义与应用价值。 作者在综述相关研究背景的基础上针对车联网中联邦学习的去中心化问题展开研究， 重点研究了与之相关的车辆间连接通路（信息传递通路）选择问题，并分别针对IID和 Non-IID情况展开研究，提出了相关优化方法并进行了实验验证。 工作表明作者基本掌握了相关领域的专业知识，对相关问题有一定的认知，但论文组 织和文字还有较大提升空间。,65,一般,论文存在问题如下： 1.题目不够清晰，题目中以“去中心化联邦学习”来修饰“拓扑优化方法”不够合理 ； 2.文中概念清晰度欠佳，比如车联网、V2V网络、V2V链路等表达让人困惑； 3.论文研究的系统场景“是一个覆盖车联网基础通信设施的城市街道场景。该城市街 道被一个范围足够大的通信基站（Base Station，BS）所覆盖”。这种场景中可 以有更好的相关问题的解决方案，应给予解释； 4.文中多处以“时隙”为单位来计量时间，而时隙一般是以具有统一时间参照为基础 的，这与去中心化在一定程度存在矛盾，应给出说明； 5.文中明确指出“去中心化联邦学习网络拓扑生成：BS 根据构建的V2V 网络以及车辆 状态信息，来对去中心化联邦学习网络拓扑进行优化”，是否可以理解为拓扑优化本 身是有中心的？ 6.第3章和第4章中“基于图卷积神经网络（/深度强化学习）的拓扑优化方法”部分输 入信息来源及信息加工的基础设施是BS还是某个V，需要给出明确说明。,良好,一般,较差,一般,很熟悉
1666,论文研究车联网中面向去中心化联邦学习的拓扑优化问题，选题具有理论意义与 应用价值。 作者在查阅文献的基础上，综述了相关领域的研究现状，针对车联网联邦学习重 点研究了与之相关的拓扑的动态性问题。具体工作包括：针对车辆移动导致的V2V连接 变化，提出了一种面向IID数据的拓扑优化方法；针对Non-IID数据，基于模型相似度 指标进行了相关建模研究，提出了基于深度强化学习的拓扑优化方法。通过实验及分 析验证了研究的有效性。 论文表明作者掌握了相关领域的专业知识，具备相应的科研及开发能力，论文达 到硕士学位论文水平。,83,良好,论文的文字表达和逻辑性还有提高空间。比如图1-5（文章组织结构），图应该主 要说明大的研究思路和各章节之间的顺序或并列关系，而目前的图示没能够完全达到 目的，尤其是绪论和相关理论与技术（前两章）应该是引入部分，现在与研究内容并 列。建议不要在每章都有引言，过渡的语言可以有，但也应该保持精炼，避免较多重 复表述。,良好,良好,良好,良好,很熟悉
1667,论文基于可靠性伪标签的半监督图像分类针对基于伪标签半监督学习存在的问题进行 了研究。提出基于证据融合理论的伪标签半监督学习框架，通过基于证据的集成策略 有效地解决了确认偏差，通过引入了证据融合理论有效整合不同基学习器提取的证据 信息，从而基于融合做出更可靠的决策并降低错误预测的风险。提出基于伪标签动态 平衡的半监督学习方法，考虑了半监督分类中不同类别之间的学习难度，鼓励模型生 成与真实数据分布一致的更可信的伪标签。论文在多个标准数据集上进行了实验验证 ，显示了所提方法的优越性。 该文选题新颖，研究目标明确，文献综述规范，研究内容丰富，实验充分，工作量充 足，方法具有一定理论参考和应用价值。,78,良好,1、论文应该尽量避免第一人称； 2、论文文献引用稍微有些混乱，建议按照在文中出现顺序引用。 3、论文语句存在晦涩难懂、不规范、不严谨和别字等情况，例如“因此本章主要上述 两种技术的基本原理及经典算法。”、“我们的提出的模型生成的伪标签准确率更高 ”等等，建议进一步对论文写作进行提升。 4、论文第三章实验设置，大部分采用了固定实验参数设置（例如我们设置率初始学习 率为0.05。训练的迭代次数和周期次数均为1024等），并且分析了在此固定实验参数 下的实验结果。建议补充说明这样设置参数的理由，参数设置是否是最佳参数？不同 参数设置对结果会产生什么样的影响？如果不同数据集需要人工寻找和手动设置最优 参数，那么如何对应本文提到的“该模型是一个简单而有效的半监督学习框架”这一 特征？类似第四章实验参数设置利用也建议补充说明。 5、论文第三章实验结果，建议补充说明实验结果针对不同数据集标签量的设置（例如 对于CIFAR-10 和SVHN 数据集，我们分别设置有标签样本量为250、1000和4000等）的 理由，不同设置对实验结果有什么影响？效率如何？同样如何对应本文提到的“该模 型是一个简单而有效的半监督学习框架”这一特征？类似第四章实验结果也建议补充 说明。,良好,优秀,一般,良好,熟悉
1668,该硕士论文针对半监督图像分类中的伪标签估计的精度和分布问题进行研究，分别提 出了基于证据融合的伪标签估计模型和权重调节的标签动态平衡半监督学习方法。针 对的问题是半监督学习的热点问题，所提出的方法具有一定的创新性，论文书写也比 较规范。实验部分显示了与基线方法比较，效果有提升。显示了论文作者对该领域有 比较扎实的理论基础和实践功底。综合认为，达到硕士学位论文要求，但需要做适当 修改。,80,良好,1、第一章和第二章的方法回顾有一定局限性。目前已经有一些方法对论文中关注的两 个问题进行研究。如伪标签可信度的研究方法需要回顾下；标签动态分布目前也有一 些工作，通过设置类别的先验概率进行约束。这些工作需要进行分析和回顾。 2、1.4节中，在本文的组织结构前，需对本文的研究内容叙述及阐述这些研究工作如 何构成一个整体 3、表格3-4中，如果不同的基学习器采用投票融合，效果对比如何？ 4、公式4-4是本论文第二个研究工作的核心部分，但这部分的阐述不清楚。公式表示 的含义是什么？为什么这么设计？有没有更好的方式？作者需要给出,良好,良好,良好,良好,熟悉
1669,图像分类是图像处理领域中的经典问题。半监督分类可以解决部分图像分类领域训练 样本标注不足问题。基于伪标签的方法在半监督分类学习中表现优越，但其存在预测 错误伪标签导致错误传播，以及精选伪标签和真实数据集分布不一致等问题，从而影 响模型性能。论文研究基于可靠性伪标签的半监督图像分类，选题具有重要的理论意 义和应用价值。 论文的主要工作体现在以下方面： 一、提出了基于证据融合理论的伪标签生成模型。设计多基学习器集成预测框架，不 同的基学习器提取无标签样本不同的证据信息。利用证据融合理论融合证据信息，以 获取更可信的伪标签。实验结果验证了方法的有效性； 二、提出了基于伪标签动态平衡的半监督学习方法。通过在学习过程中动态灵活调整 和平衡伪标签的类别分布，以加强对学习不充分类别的关注，从而使伪标签的分布更 接近真实数据分布。实验结果验证了方法的有效性。 论文结构合理，叙述详实，理论推导准确，图表规范，实验数据真实可信，结论正确 。表明论文达到硕士学位论文水平，同意参加答辩。,89,良好,论文存在以下方面的不足，需要改进： 1.第4章标题和4.2.3节标题要有所区分； 2.全文参考文献引用位置要规范，一般应位于文献作者名字结束位置； 3.第3页倒数第4行有排版书写错误； 4.第4页第5-6行，第17行有类似排版书写错误； 5.第7页第4行有排版书写错误； 6.第9页第7行有排版书写错误； 7.第9页倒数第5行缺少左括号； 8.第9页倒数第2行代理标签模型的英文不对应，请更正确认； 9.第11页公式（2-5）无标签数据应标识序号i； 10.第11页最后一行fs()位置不对，12页第2行“伤”有误； 11.第14页倒数第5行“连个”有误，第22页第4行； 12.第15页第3行中间部分表述不完整； 13.全文中的术语“噪音”建议更改为“噪声”； 14.第18页倒数第6行，“为添加”改为“未添加”； 15.第20页算法3没有体现出随机丢弃操作； 16.第22页第1行多“为”字； 17.第23页第10行去除“【】”； 18.第27页倒数第15行，倒数第6行“除了”改为“出了”； 19.第30页公式（3-3）和公式（3-4），根据K的定义，归一化常数应该为1-K； 20.第30页倒数第6行参考文献标号未知，公式（3-5）的释义中每个pl的范围编写有误 ； 21.第31页公式（3-7）的释义和公式本身不一致，请确认； 22.第31页请确认公式（3-8），这是第k个网络的计算结果，是否需要综合所有网络结 果； 23.第31页公式（3-9）中第一个公式中的k，请确认是否是确切的值，而不是一个参量 ； 24.第33页请对算法5中最内层循环的合理性进行确认； 25.第34页文献83的排版； 26.请作者讨论，为什么对比不同的数据集时，采用不同网络作为基学习器的网络结构 ； 27.第35页“ReMinMatch的性能比EPLE好一点的原因是”，应具体指出对哪种标签，而 不是对于所有的标签； 28.第42页第2行“虽然但”； 29.第43页倒数第10行“公式公式4-1”；全文的撰写还需要仔细确认和修正。,良好,良好,优秀,良好,熟悉
1670,论文研究了在给定边界内的大规模节点布局方法。对于无权重节点，该方法使用最优 传输，将输入节点映射至给定边界内的均匀采样点。其引入最优传输解决节点布局的 思路较为合理，但该方法仍属于此前已有的切片最优传输方法较为直接的应用，而在 算法层面上贡献较小。对于带权重节点，该论文方法将其拆分为多个节点后同样通过 最优传输进行布局，并在后期通过贸易算法及力导向对布局进行调整。贸易算法的设 计在节点布局中较为新颖，但也造成了算法中的割裂感：如果能通过改进问题的建模 方式，从而在统一的最优传输框架下解决问题则更为理想。在方法的评估上，该论文 对于无权节点及有权节点都提出了数个应用，并通过量化指标及可视化结果的方式验 证了方法的有效性，实验较为充分。写作上，该论文文笔流畅，结构清晰，格式较为 规范。尤其是对于关键算法及思想都有较为直观的示意图进行说明，极大地增强了文 章的可读性。综上，该论文达到了硕士学位论文要求。,90,优秀,格式： 1. 公式应该是文本的一部分。因此，公式后也应该有标点符号（逗号或句号）。如 公式3-2后应有句号，而3-3后应有逗号。 2. 公式3-3及上方文字中出现的数学符号字体不统一（如p'后的单引号），建议检查 字体。此外，如果将knn视为数学操作符，则knn应该是正体而非斜体。 论文实验及讨论都较为充分，以下意见仅供参考： 1. 对实验3-11的解读中，对于论文提出方法的局限性讨论不足。尽管该方法能完全 保持外边界不变，但相对于此前算法而言，单个州的变形往往比现有方法更为严重： 如NM从正方形变成极为狭长的形状。这一情况对于处于边界的州有其明显，如纽约州 （NY）及佛罗里达州（FL）。这甚至可能改变州的邻接关系，如纽约州与密歇根州（ MI）在形变后变为相邻，而在此前方法中则没有出现这种现象。这些结果并不难理解 ：外边界严格不变，而最优传输中也没有损失项考虑单个州（每类节点）的形状变化 。尽管在结论中对于指标有一定讨论，但在具体可视化结果中，也应该对局限性有较 为公正的分析，才能增强文章的可信度。 2. 投影轴个数、占位点分辨率对布局的影响可添加代表性的可视化结果进行说明。,良好,优秀,良好,优秀,熟悉
1671,该论文主要解决节点布局问题，所用方法需要在保证节点空间邻近关系的前提下，将 给定初始分布的数据点均匀无重叠地分布于一个受限空间内。节点带权，对布局会产 生相应影响，因此，该文分别针对无权节点和带权节点两种情况，提出了对应的布局 算法。该文通过定量、定性分析，及相关可视化应用，说明算法的有效性。 该文选题准确，有一定的理论意义和比较好的应用价值。从论文可以看出，该同学较 好地掌握了基础知识，能系统性运用基础理论，专业知识扎实。研究方法适当，工作 量较饱满。论文结果体现了该同学的综合分析能力和解决问题的能力较强。论文结构 合理，逻辑性较强，表达准确，写作规范，引文规范。达到了硕士论文标准，同意答 辩。,85,良好,"1. 可以根据布局算法的特点，给算法命名，从而使行文论述更清晰； 2. 算法的描述可以考虑伪代码形式，增强可读性； 3. 论文撰写的格式问题: 1)第12页，从底部数起的第8行""和 PFS’[5]提出了..."" ，PFS右上的撇点，建议用 插入字符替换； 2)通篇统一段落对齐方式。例如第12页“1.2国内外研究现状”，段落右侧没有对齐 ； 3)第16页，“1.4 本文组织结构”，第二段段落，“第一章：绪论。”应统一为“第 一章，绪论。”",良好,良好,良好,良好,熟悉
1672,论文研究受限空间内的节点布局问题，是数据可视化的基础研究问题，具有较高的研 究价值。论文主要内容包括： （1）针对无权节点在受限空间内均匀布局问题，提出了基于切片最优传输和边界受 限力导向的迭代式布局算法； （2）针对带权节点在受限空间内均匀布局问题，提出了基于贸易算法的布局算法， 重点解决了解决带权节点的子空间离散分配造成的权重空间分布不均问题。 上述算法通过与已有方法实验比较、参数分析等评估，初步验证了算法的有效性，并 在应用于三类可视化。,76,良好,（1）论文针对大规模节点的布局，如何定义大规模节点？第三章对比实验仅采用了 5000个节点，与大规模节点尚有差距。 （2）在对比实验和算法应用中，缺少与现有算法的比较，如可视化效果、运行效率 等，特别是第3章的算法。 （3）第4章算法的要求需详细说明，与已有Weighted-CVT对比，除了效率较高外，其 他指标都低于Weighted-CVT，建议分析原因，讨论如何改进。 （4）论文图片需要标注来源，图片也需要再文中有文字描述，如图2-4未描述。,良好,良好,一般,良好,熟悉
1673,论文研究了广域网带宽感知的视频流调控问题，具有明确的应用背景。提出了一种适 用于慢变化场景的视频流分析配置选择策略在满足用户准确率要求的前提下，目的是 最大程度节省带宽， 实现高精度视频分析。提出了一种适用于快变化场景的视频流分 析配置文件切换策略，目的是在快变化场景中，避免频繁在线采样更新配置文件，减 少额外的带宽消耗，并对实时视频流进行高精度检测。实验结果表明，所提出的方案 相较于传统的视频分析系统能节省带宽消耗，并维持 90% 以上的视频分析精度，在带 宽节省和分析精度上取得了更好的平衡。对相关方法的原理、过程描述的基本清楚， 有具体的实验数据佐证，相关结果有较高可信性。,88,良好,建议以下方面改进： 1）论文摘要及结论部分不够简洁，对创新性阐述的不是很清楚。建议从难点、创新思 路、方案、结果对比分析角度，阐述论文工作与当前主流结果的差异，突出先进性和 主要贡献。 2）论文实验设置部分说的不是很清楚。实验部分仅与AWStream进行了对比，但没有说 明选择AWStream的理由。如论文2.4.2节所说，比AWStream性能更好的类似算法很多， 建议作者在第三章、第四章实验部分对各种相关方法进行定性、定量对比，突出所作 工作的先进性和创新性。 3）图4-14对视频1、视频2、视频3、视频4等4类视频类型进行了性能对比，但没有在 正文里说明这4类视频来源及选取标准，是否有代表性，以及不同类别对性能的影响是 什么。 4）建议作者在实验总结环节，补充对相关工作的引用和定性、定量对比，突出论文的 先进性。,良好,优秀,一般,良好,熟悉
1674,本文通过离线分析刻画了不同参数组合（帧速率、分辨率等）构成的配置与视频分析 精度的关系，实时感知物体的运动状态，利用摄像端的空闲资源实时选择最优配置调 整视频编码质量，并根据目标物体运动状态的变化动态切换配置文件，旨在减少广域 网带宽消耗和维持高精度视频分析。提出了一种适用于慢变化场景的视频流分析配置 选择策略及一种适用于快变化场景的视频流分析配置文件切换策略，通过实验对所提 出策略的有效性进行验证。本文具有一定创新性，结构合理，满足硕士毕业论文要求 。,88,良好,（1）虽然第二章的内容也与本文的研究内容相关，但很多内容并不是直接相关，建议 在相关技术背景和研究现状部分对与本文研究的视频流分析配置选择问题及视频流分 析配置文件切换问题的研究现状及相关技术进行分析介绍。 （2）本文在第三章说“为了更有效地适应网络带宽的变化，本文引入了一种新的数据 结构来存储各种配置信息。如图 3-10 所示“，请进一步说明为什么这种数据结构更 为有效。 （3）建议对本文中给出的关键算法进行正确性分析。,良好,一般,良好,良好,熟悉
1675,针对视频流分析中的带宽限制和精度要求问题，该论文提出了两种视频流分析配置选 择策略。首先，针对慢变化场景，该论文提出了 SPStream 策略，通过离线分析视频 帧速率、分辨率和分析准确率的关系，并分配更多的码流给感兴趣区域，利用摄像端 的空闲资源动态调整视频编码质量，从而实现高精度视频分析并最大程度节省带宽。 其次，针对快变化场景，该论文提出了 SPStream+ 策略，在 SPStream 基础上增加 Adapt 模块，采用背景差分法提取目标物体，并计算其在视频帧中的像素坐标，利用 单目测距技术定期分析目标物体的运动状态，并与当前配置文件的阈值进行对比，动 态切换最佳的配置文件控制视频流的实时传输，以保证视频分析的高准确率。 总的来说，该论文具有一定现实意义与工程应用价值，理论性、创新性符合要求。论 文工作显示出作者已经基本掌握了基础理论以及专业前沿，具有从事科学研究工作的 能力。作者配合详细的图文展示，使易于理解，实验证明与结果分析较为充分。最后 ，论文的书写、图表格式等符合规范。,80,良好,"（Q1）论文摘要中的关键词不足够体现本文的相关性，关键词顺序建议按照相关度从 高到低撰写。 （Q2）论文“1.2现有方法的局限性”中引用的文献多为2021年之前的工作，建议对近 两年的文献进行总结分析。 （Q3）建议重绘图2-1，保持图片底色与论文统一。 （Q4）建议对第二章进行重新排版，论文第18页为空白,是否合理。 （Q5）建议重绘图3-7为矢量图。 （Q6）建议进一步规范化学术语言表达,避免出现如“3.6本章小结”中“找到一个较 好的平衡点，体现了优越性”的表达。 （Q7）建议进一步规范逻辑关联词的使用，避免出现论文4.1“因此...，因此，...” 的表达。 （Q8）论文公式4-7中，“O’Py”中的“’”为中文符号，应改成英文符号。 （Q9）论文公式4-16，三行公式堆积一起，建议分开撰写。 （Q10）论文实验部分对比实验较少，建议添加实验。",良好,良好,良好,良好,熟悉
